Drug.Name,Synonyms,ChEMBL ID,IDs,referenced_datasets,MOA,repurposing_target,Indication,Disease Area,Phase(RepHub),merge_issues,Type,Phase(ChEMBL),SMILES,InChIKey
10-DEACETYLBACCATIN,10-DEACETYLBACCATIN,,BRD:BRD-BRD-K96631475-001-02-4;BRD:BRD-BRD-K96631475-001-04-0;BRD:BRD-K96631475-001-02-4;BRD:BRD-K96631475-001-04-0,rep_multi_dose;rep_primary;rep_single_dose,ANTITUMOR AGENT,,,,PRECLINICAL,,,NA,"CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)C2CCCCC2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C, CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)C2CCCCC2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C, CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)C2CCCCC2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C",
10-DEBC,10-DEBC,,BRD:BRD-BRD-K70792160-003-04-6;BRD:BRD-K70792160-003-04-6,rep_primary;rep_single_dose,AKT INHIBITOR,PIM1,,,PRECLINICAL,,,NA,"CCN(CC)CCCCN1C2CCCCC2OC2CCC(CL)CC12, CCN(CC)CCCCN1C2CCCCC2OC2CCC(CL)CC12",
NSC-107124,(S)-10-HYDROXYCAMPTOTHECIN;10-HCPT;10-HYDROXY CAMPTOTHECIN;10-HYDROXY-CAMPTOTHECIN;10-HYDROXYCAMPTOTHECIN;10-HYDROXYCAMPTOTHECINE;HYDROXYCAMPTOTHECIN;IRINOTECAN RELATED COMPOUND A;NSC-107124,CHEMBL273862,BRD:BRD-BRD-K63784565-001-06-2;BRD:BRD-K63784565-001-06-2,rep_multi_dose;rep_primary;rep_single_dose,TOPOISOMERASE INHIBITOR,TOP1,,,PRECLINICAL,,Small molecule,3,"CC[C@@]1(O)C(=O)OCC2C1CC1-C3NC4CCC(O)CC4CC3CN1C2=O, CC[C@@]1(O)C(=O)OCC2C1CC1-C3NC4CCC(O)CC4CC3CN1C2=O;CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1",HAWSQZCWOQZXHI-FQEVSTJZSA-N
10058-F4,10058-F4,,BRD:BRD-BRD-K49460120-001-02-5;BRD:BRD-K49460120-001-02-5,rep_primary;rep_single_dose,C-MYC INHIBITOR,,,,PRECLINICAL,,,NA,"CCC1CCC(CC1)\C=C1\SC(=S)NC1=O, CCC1CCC(CC1)\C=C1\SC(=S)NC1=O, CCC1CCC(CC1)\C=C1\SC(=S)NC1=O",
1035270-39-3,1035270-39-3,,GDSC2:1786,gdsc,,,,,,,,NA,,
12-O-TETRADECANOYLPHORBOL-13-ACETATE,12-O-TETRADECANOYLPHORBOL-13-ACETATE,,BRD:BRD-BRD-K68552125-001-05-3;BRD:BRD-K68552125-001-05-3,rep_multi_dose;rep_primary;rep_single_dose,PKC ACTIVATOR,KCNT2;TRPV4,,,PHASE 2,,,NA,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O,
1400W,1400W,CHEMBL107251,BRD:BRD-BRD-K30237152-300-02-5;BRD:BRD-K30237152-300-02-5,rep_primary;rep_single_dose,NITRIC OXIDE SYNTHASE INHIBITOR,NOS1;NOS2;NOS3,,,PRECLINICAL,,Small molecule,NA,CC(=N)NCc1cccc(CN)c1;CC(=N)NCC1CCCC(CN)C1,RODUKNYOEVZQPR-UHFFFAOYSA-N
"16,16-DIMETHYLPROSTAGLANDIN-E2","16,16-DIMETHYLPROSTAGLANDIN-E2",,BRD:BRD-BRD-K92301463-001-05-5;BRD:BRD-K92301463-001-05-5,rep_primary;rep_single_dose,PROSTANOID RECEPTOR AGONIST,HPGD,,,PHASE 2,,,NA,CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,
16-BETA-BROMOANDROSTERONE,16-BETA-BROMOANDROSTERONE,,CTRP:411726,ctrp,,,,,,,,NA,,
17-ALPHA-METHYLTESTOSTERONE,17-ALPHA-METHYLTESTOSTERONE,,BRD:BRD-BRD-K84036904-001-08-8;BRD:BRD-K84036904-001-08-8,rep_primary;rep_single_dose,AROMATASE INHIBITOR,AR,,,LAUNCHED,,,NA,"C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C, C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C",
17-HYDROXYPROGESTERONE-CAPROATE,17-HYDROXYPROGESTERONE-CAPROATE,,BRD:BRD-A29731977-001-04-5;BRD:BRD-BRD-A29731977-001-04-5,rep_primary;rep_single_dose,PROGESTERONE RECEPTOR AGONIST,AR;ESR1;ESR2;NR1H4;NR1I2;NR3C1;PGR,,,LAUNCHED,,,NA,CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O,
17-PA,17-PA,,BRD:BRD-K07395323-001-02-9,rep_single_dose,GLUCOCORTICOID RECEPTOR AGONIST,,,,,,,NA,,
1E-1-(2-HYDROXY-5-METHYLPHENYL)-1-DODECANONE-OXIME,1E-1-(2-HYDROXY-5-METHYLPHENYL)-1-DODECANONE OXIME;1E-1-(2-HYDROXY-5-METHYLPHENYL)-1-DODECANONE-OXIME,,BRD:BRD-A37752546-001-01-9;BRD:BRD-A37752546-001-02-9;BRD:BRD-BRD-A37752546-001-01-9,rep_primary;rep_single_dose,,,,,PRECLINICAL,,,NA,CCCCCCCCCCCC([N+][O-])C1CC(C)CCC1O,
"1S,2R-PHENYLPROPANOLAMINE","1S,2R-PHENYLPROPANOLAMINE",,BRD:BRD-BRD-K27853494-003-04-7;BRD:BRD-K27853494-003-04-7,rep_primary;rep_single_dose,ADRENERGIC RECEPTOR AGONIST,ADRA1A;ADRA2A;ADRB1;ADRB2;DRD1,,,WITHDRAWN,,,NA,C[C@@H](N)[C@@H](O)C1CCCCC1,
"1S,3R-RSL-3","1S,3R-RSL-3",,CTRP:609060,ctrp,,,,,,,,NA,,
2'-C-METHYLGUANOSINE,2'-C-METHYLGUANOSINE,,BRD:BRD-BRD-K78092779-001-01-6;BRD:BRD-K78092779-001-01-6,rep_primary;rep_single_dose,HCV INHIBITOR,,,,PRECLINICAL,,,NA,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1N1CNC2C(O)NC(N)NC12,
2'-MECCPA,2'-MECCPA,,BRD:BRD-BRD-K63932022-001-01-5;BRD:BRD-K63932022-001-01-5,rep_multi_dose;rep_primary;rep_single_dose,ADENOSINE RECEPTOR AGONIST,ADORA1,,,PRECLINICAL,,,NA,"C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1N1CNC2C(NC3CCCC3)NC(CL)NC12, C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1N1CNC2C(NC3CCCC3)NC(CL)NC12",
"2,3-DCPE","2,3-DCPE",,BRD:BRD-BRD-K61734568-003-02-1;BRD:BRD-K61734568-003-02-1,rep_multi_dose;rep_primary;rep_single_dose,BCL-XL DOWNREGULATOR,BCL2L1,,,PRECLINICAL,,,NA,OCCNCCCOC1CCCC(CL)C1CL,
"2,4-DIHYDROXYPYRIMIDINE-5-CARBOXYLIC ACID","2,4-DIHYDROXYPYRIMIDINE-5-CARBOXYLIC ACID",,BRD:BRD-K00078070-001-02-9,rep_single_dose,,,,,,,,NA,,
SR-1C5,".ALPHA.-DINITROPHENOL;2,4-DINITROPHENOL;ALDIFEN;CHEMOX;DINITROPHENOL;DINOFAN;FENOXYL CARBON N;MITCAL;MP-101;NITROPHEN;NITROPHENE;NSC-1532;SR-1C5",CHEMBL273386,BRD:BRD-BRD-K21910317-001-12-3;BRD:BRD-K21910317-001-12-3,rep_primary;rep_single_dose,ATP SYNTHASE INHIBITOR,APP,,,PRECLINICAL,,Small molecule,2,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1;OC1CCC(CC1[N+]([O-])=O)[N+]([O-])=O,UFBJCMHMOXMLKC-UHFFFAOYSA-N
NSC-63890,"2,6-DIMETHYLPIPERIDINE;NANIOPINE;NANOFIN;NSC-63890",CHEMBL2104431,BRD:BRD-A21276153-001-01-1;BRD:BRD-BRD-A21276153-001-01-1,rep_primary;rep_single_dose,,,,,PRECLINICAL,,Small molecule,-1,CC1CCCC(C)N1,SDGKUVSVPIIUCF-UHFFFAOYSA-N
2-(3-MERCAPTOPROPYL)PENTANEDIOIC-ACID,2-(3-MERCAPTOPROPYL)PENTANEDIOIC ACID;2-(3-MERCAPTOPROPYL)PENTANEDIOIC-ACID,,BRD:BRD-A66788520-001-01-7;BRD:BRD-BRD-A66788520-001-01-7,rep_primary;rep_single_dose,GLUTAMATE CARBOXYPEPTIDASE INHIBITOR,FOLH1,,,PHASE 1,,,NA,OC(=O)CCC(CCCS)C(O)=O,
2-AMINOBENZENESULFONAMIDE,2-AMINOBENZENESULFONAMIDE,,BRD:BRD-BRD-K32681104-001-11-6;BRD:BRD-K32681104-001-11-6,rep_primary;rep_single_dose,CARBONIC ANHYDRASE INHIBITOR,CA12;CA14;CA2;CA6;CA9,,,PRECLINICAL,,,NA,NC1CCCCC1S(N)(=O)=O,
2-BENZYL-4-CHLOROPHENOL,2-BENZYL-4-CHLOROPHENOL,,BRD:BRD-K83982397-001-06-9,rep_single_dose,,,,,,,,NA,,
2-BFI,2-BFI,,BRD:BRD-BRD-K22745370-003-02-3;BRD:BRD-K22745370-003-02-3,rep_primary;rep_single_dose,IMIDAZOLINE RECEPTOR LIGAND,ADRA2A;ADRA2B;ADRA2C;MAOA;MAOB,,,PRECLINICAL,,,NA,C1CN=C(N1)C1CC2CCCCC2O1,
2-CHLORO-N6-CYCLOPENTYLADENOSINE,2-CHLORO-N6-CYCLOPENTYLADENOSINE,,BRD:BRD-BRD-K70088346-001-01-6;BRD:BRD-K70088346-001-01-6,rep_primary;rep_single_dose,ADENOSINE RECEPTOR AGONIST,ADORA1;ADORA2A;ADORA2B;ADORA3,,,PRECLINICAL,,,NA,"OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1CNC2C(NC3CCCC3)NC(CL)NC12, OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1CNC2C(NC3CCCC3)NC(CL)NC12",
2-CHLOROADENOSINE,2-CHLOROADENOSINE,,BRD:BRD-BRD-K79511609-001-20-0;BRD:BRD-K79511609-001-20-0,rep_primary;rep_single_dose,ADENOSINE RECEPTOR AGONIST,ADORA1;ADORA2A;ADORA2B,,,PRECLINICAL,,,NA,NC1NC(CL)NC2N(CNC12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,
2-CHLOROPYRAZINE,2-CHLOROPYRAZINE,,BRD:BRD-BRD-K84075000-001-05-5;BRD:BRD-K84075000-001-05-5,rep_primary;rep_single_dose,,,,,PRECLINICAL,,,NA,CLC1CNCCN1,
2-CMDO,2-CMDO,,BRD:BRD-BRD-K92588747-051-02-7;BRD:BRD-K92588747-051-02-7,rep_primary;rep_single_dose,DOPAMINE RECEPTOR ANTAGONIST,DRD2;DRD4,,,PRECLINICAL,,,NA,CN1CCN(CC1)C1=CC2CCCCC2OC2CCC(CL)CC12,
2-CYANOPYRIMIDINE,2-CYANOPYRIMIDINE,,BRD:BRD-BRD-K95015809-001-02-8;BRD:BRD-K95015809-001-02-8,rep_primary;rep_single_dose,CATHEPSIN INHIBITOR,,,,PRECLINICAL,,,NA,N#CC1NCCCN1,
2-DEOXYGLUCOSE,2-DEOXYGLUCOSE,,BRD:BRD-BRD-K97808269-001-02-7;BRD:BRD-K97808269-001-02-7,rep_primary;rep_single_dose,GLYCOLYSIS INHIBITOR,SLC2A1;SLC2A2;SLC2A3;SLC2A4,,,PHASE 2,,,NA,OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O,
2-ETHOXYBENZOIC-ACID,2-ETHOXYBENZOIC-ACID,,BRD:BRD-BRD-K04843302-001-02-5;BRD:BRD-K04843302-001-02-5,rep_primary;rep_single_dose,ANALGESIC AGENT,,,,PHASE 1,,,NA,CCOC1CCCCC1C(O)=O,
"2-ETHYL-1,3-HEXANEDIOL","2-ETHYL-1,3-HEXANEDIOL",,BRD:BRD-A55455283-001-01-3;BRD:BRD-BRD-A55455283-001-01-3,rep_primary;rep_single_dose,,,,,PRECLINICAL,,,NA,"CCCC(O)C(CC)CO, CCCC(O)C(CC)CO",
2-ETHYLHEXYL 4-(DIMETHYLAMINO)BENZOATE,2-ETHYLHEXYL 4-(DIMETHYLAMINO)BENZOATE,,BRD:BRD-A49924714-001-08-9,rep_single_dose,,,,,,,,NA,,
2-FLUORO-2-DEOXY-D-GALACTOSE,2-FLUORO-2-DEOXY-D-GALACTOSE,,BRD:BRD-A53037300-001-01-0;BRD:BRD-BRD-A53037300-001-01-0,rep_primary;rep_single_dose,,LCT,,,PHASE 1,,,NA,OCC1OC(O)C(F)C(O)C1O,
SGN-2FF,2-FLUOROFUCOSE;SGN-2FF,CHEMBL4297429,BRD:BRD-K00004677-001-01-9,rep_single_dose,,,,,,,Small molecule,1,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](F)C=O,SQTFKIKSQNCWGJ-KCDKBNATSA-N
2-HYDROXYETHYL-SALICYLATE,2-HYDROXYETHYL-SALICYLATE,,BRD:BRD-BRD-K41866823-001-01-3;BRD:BRD-K41866823-001-01-3,rep_primary;rep_single_dose,,,,,LAUNCHED,,,NA,OCCOC(=O)C1CCCCC1O,
HYDROXYFLUTAMIDE,.ALPHA.-HYDROXYFLUTAMIDE;2-HYDROXYFLUTAMIDE;HYDROXY-FLUTAMIDE;HYDROXYFLUTAMIDE,CHEMBL491,BRD:BRD-BRD-K82027074-001-07-5;BRD:BRD-K82027074-001-07-5,rep_primary;rep_single_dose,ANDROGEN RECEPTOR ANTAGONIST,AR,,,PHASE 1/PHASE 2,,Small molecule,2,"CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1;CC(C)(O)C(=O)NC1CCC(C(C1)C(F)(F)F)[N+]([O-])=O, CC(C)(O)C(=O)NC1CCC(C(C1)C(F)(F)F)[N+]([O-])=O",YPQLFJODEKMJEF-UHFFFAOYSA-N
2-HYDROXYSACLOFEN,2-HYDROXYSACLOFEN,,BRD:BRD-A27924917-001-03-3;BRD:BRD-BRD-A27924917-001-03-3,rep_primary;rep_single_dose,GABA RECEPTOR ANTAGONIST,GABBR1;GABBR2,,,PRECLINICAL,,,NA,NCC(O)(CS(O)(=O)=O)C1CCC(CL)CC1,
GUANIDINOBIOTIN,2-IMINOBIOTIN;GUANIDINOBIOTIN,CHEMBL1233598,BRD:BRD-BRD-K07954936-001-01-3;BRD:BRD-K07954936-001-01-3,rep_primary;rep_single_dose,NITRIC OXIDE SYNTHASE INHIBITOR,NOS1;NOS2,,,PHASE 2,,Small molecule,2,N=C1N[C@H]2[C@H](CS[C@H]2CCCCC(=O)O)N1;OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12,WWVANQJRLPIHNS-ZKWXMUAHSA-N
2-IODOHIPPURIC-ACID,2-IODOHIPPURIC-ACID,,BRD:BRD-BRD-K56634222-001-03-0;BRD:BRD-K56634222-001-03-0,rep_primary;rep_single_dose,,,,,PRECLINICAL,,,NA,OC(=O)CNC(=O)C1CCCCC1I,
2-IODOMELATONIN,2-IODOMELATONIN,,BRD:BRD-BRD-K25649279-001-02-0;BRD:BRD-K25649279-001-02-0,rep_primary;rep_single_dose,MELATONIN RECEPTOR AGONIST,MTNR1A;MTNR1B;NQO2,,,PRECLINICAL,,,NA,COC1CCC2[NH]C(I)C(CCNC(C)=O)C2C1,
NSC-659853,2-METHOXYESTRADIOL;2-METHOXYOESTRADIOL;NSC-659853,CHEMBL299613,BRD:BRD-BRD-K44408410-001-17-6;BRD:BRD-K44408410-001-17-6,rep_multi_dose;rep_primary;rep_single_dose,HYPOXIA INDUCIBLE FACTOR INHIBITOR,COMT;CYP19A1;CYP1A1;CYP1B1;HIF1A;TUBB,,,PHASE 2,,Small molecule,2,"COC1CC2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCC2CC1O, COC1CC2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCC2CC1O, COC1CC2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCC2CC1O;COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12",CQOQDQWUFQDJMK-SSTWWWIQSA-N
2-METHYL-5-HYDROXYTRYPTAMINE,2-METHYL-5-HYDROXYTRYPTAMINE,,BRD:BRD-BRD-K64137799-003-02-5;BRD:BRD-K64137799-003-02-5,rep_primary;rep_single_dose,SEROTONIN RECEPTOR AGONIST,HTR1B;HTR1D;HTR1E;HTR1F;HTR3A;HTR3B;HTR6,,,PRECLINICAL,,,NA,"CC1[NH]C2CCC(O)CC2C1CCN, CC1[NH]C2CCC(O)CC2C1CCN",
2-METHYLIMIDAZOLE,2-METHYLIMIDAZOLE,,BRD:BRD-K68534611-001-07-8,rep_single_dose,CHOLESTEROL INHIBITOR,,,,,,,NA,,
2-OCTYLDODECAN-1-OL,2-OCTYLDODECAN-1-OL,,BRD:BRD-A51407134-001-01-9;BRD:BRD-BRD-A51407134-001-01-9,rep_primary;rep_single_dose,,,,,PRECLINICAL,,,NA,"CCCCCCCCCCC(CO)CCCCCCCC, CCCCCCCCCCC(CO)CCCCCCCC",
2-OLEOYLGLYCEROL,2-OLEOYLGLYCEROL,,BRD:BRD-BRD-K77087341-001-02-4;BRD:BRD-K77087341-001-02-4,rep_primary;rep_single_dose,GLUCOSE DEPENDENT INSULINOTROPIC RECEPTOR LIGAND,GPR119,,,PHASE 1,,,NA,CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)CO,
2-OXOGLUTARIC-ACID,2-OXOGLUTARIC-ACID,,BRD:BRD-BRD-K89712525-001-02-1;BRD:BRD-K89712525-001-02-1,rep_primary;rep_single_dose,,OXGR1,,,PRECLINICAL,,,NA,OC(=O)CCC(=O)C(O)=O,
2-PHENYLMELATONIN,2-PHENYLMELATONIN,,BRD:BRD-BRD-K41869275-001-02-8;BRD:BRD-K41869275-001-02-8,rep_primary;rep_single_dose,MELATONIN RECEPTOR AGONIST,MTNR1A;MTNR1B,,,PRECLINICAL,,,NA,"COC1CCC2[NH]C(C(CCNC(C)=O)C2C1)-C1CCCCC1, COC1CCC2[NH]C(C(CCNC(C)=O)C2C1)-C1CCCCC1",
2-PMDQ,2-PMDQ,,BRD:BRD-A04661934-001-02-9;BRD:BRD-BRD-A04661934-001-02-9,rep_primary;rep_single_dose,ADRENERGIC RECEPTOR ANTAGONIST,ADRA1A,,,PRECLINICAL,,,NA,O=C1NC2CCCCC2C2=NC(CN3CCN(CC3)C3CCCCC3)CN12,
